wwn;module;position;mount_point
wwn-0x5000039d68d2a2b3;1;1;M1
wwn-0x5000039d68d2c9eb;1;2;M2
wwn-0x5000039d68d2c9da;1;3;M3
wwn-0x5000039d68d2c9dd;1;4;M4
wwn-0x5000039d68d2caba;1;5;M5
wwn-0x5000039d68d2cb22;1;6;M6
wwn-0x5000039d68d2cb3d;1;7;M1
wwn-0x5000039d68d2cb3a;1;8;M2
wwn-0x5000039d68d2cb1d;1;9;M3
wwn-0x5000039d68d2cad8;1;10;M4
wwn-0x5000039d68d2cb10;1;11;M5
wwn-0x5000039d68d2cb20;1;12;M6
wwn-0x5000039d68d2cb08;2;1;M1
wwn-0x5000039d68d2cac0;2;2;M2
wwn-0x5000039d68d2c9e0;2;3;M3
wwn-0x5000039d68d2cb01;2;4;M4
wwn-0x5000039d68d2cabc;2;5;M5
wwn-0x5000039d68d2c865;2;6;M6
wwn-0x5000039d68d2cae1;2;7;M1
wwn-0x5000039d68d2cad6;2;8;M2
wwn-0x5000039d68d2c9dc;2;9;M3
wwn-0x5000039d68d2cc19;2;10;M4
wwn-0x5000039d68d2cc16;2;11;M5
wwn-0x5000039d68d2cc1c;2;12;M6
wwn-0x5000039d68d2cc15;3;1;M1
wwn-0x5000039d68d2c88a;3;2;M2
wwn-0x5000039d68d2cc52;3;3;M3
wwn-0x5000039d68d2c893;3;4;M4
wwn-0x5000039d68d2c89d;3;5;M5
wwn-0x5000039d68d2cc28;3;6;M6
wwn-0x5000039d68d2c909;3;7;M1
wwn-0x5000039d68d2cc27;3;8;M2
wwn-0x5000039d68d2c90b;3;9;M3
wwn-0x5000039d68d2cc25;3;10;M4
wwn-0x5000039d68d2c87d;3;11;M5
wwn-0x5000039d68d2cc1e;3;12;M6
wwn-0x5000039d68d2c883;4;1;M1
wwn-0x5000039d68d2c880;4;2;M2
wwn-0x5000039d68d2c886;4;3;M3
wwn-0x5000039d68d2c885;4;4;M4
wwn-0x5000039d68d2c876;4;5;M5
wwn-0x5000039d68d2cb0c;4;6;M6
wwn-0x5000039d68d2c083;4;7;M1
wwn-0x5000039d68d2cb14;4;8;M2
wwn-0x5000039d68d2caeb;4;9;M3
wwn-0x5000039d68d2caef;4;10;M4
wwn-0x5000039d68d2c926;4;11;M5
wwn-0x5000039d68d2cade;4;12;M6
wwn-0x5000039d68d2cae8;5;1;M1
wwn-0x5000039d68d2cc1b;5;2;M2
wwn-0x5000039d68d2cc49;5;3;M3
wwn-0x5000039d68d2c864;5;4;M4
wwn-0x5000039d68d2cc4c;5;5;M5
wwn-0x5000039d68d2c871;5;6;M6
wwn-0x5000039d68d2cc4f;5;7;M1
wwn-0x5000039d68d2cc2e;5;8;M2
wwn-0x5000039d68d2cb1f;5;9;M3
wwn-0x5000039d68d2cc4b;5;10;M4
wwn-0x5000039d68d2cac5;5;11;M5
wwn-0x5000039d68d2cc47;5;12;M6